Departments,description,message_clean,tokens,tokens_refined
immunogenetics,farber lipogranulomatosis  acid ceramidase deficiency farber disease n lauryl sphingosine deacylase deficiency lipid storage disease  immunogenetics,farber lipogranulomatosis  acid ceramidase deficiency farber disease n lauryl sphingosine deacylase deficiency lipid storage disease  immunogenetics,"['farber', 'lipogranulomatosis', 'acid', 'ceramidase', 'deficiency', 'farber', 'disease', 'n', 'lauryl', 'sphingosine', 'deacylase', 'deficiency', 'lipid', 'storage', 'disease', 'immunogenetics']","['farber', 'lipogranulomatosis', 'acid', 'ceramidase', 'deficiency', 'farber', 'disease', 'n', 'lauryl', 'sphingosine', 'deacylase', 'deficiency', 'lipid', 'storage', 'disease', 'immunogenetics']"
immunogenetics,muir torre syndrome lynch syndrome  immunogenetics,muir torre syndrome lynch syndrome  immunogenetics,"['muir', 'torre', 'syndrome', 'lynch', 'syndrome', 'immunogenetics']","['muir', 'torre', 'syndrome', 'lynch', 'syndrome', 'immunogenetics']"
immunogenetics,loeys dietz syndrome  do rare slim autosomal dominant disease  immunogenetics,loeys dietz syndrome  do rare slim autosomal dominant disease  immunogenetics,"['loeys', 'dietz', 'syndrome', 'do', 'rare', 'slim', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['loeys', 'dietz', 'syndrome', 'rare', 'slim', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
dermatology,erythrokeratodermia variabilis  do flybase slim erythrokeratodermia figurata variabilis greither disease skin disease  dermatology,erythrokeratodermia variabilis  do flybase slim erythrokeratodermia figurata variabilis greither disease skin disease  dermatology,"['erythrokeratodermia', 'variabilis', 'do', 'flybase', 'slim', 'erythrokeratodermia', 'figurata', 'variabilis', 'greither', 'disease', 'skin', 'disease', 'dermatology']","['erythrokeratodermia', 'variabilis', 'flybase', 'slim', 'erythrokeratodermia', 'figurata', 'variabilis', 'greither', 'disease', 'skin', 'disease', 'dermatology']"
general medicine,"yellow nail syndrome a syndrome that is characterized by an accumulation of protein rich fluid (lymph) in the soft layers of tissue under the skin resulting in pleural effusions, lymphedema (due to lymphatic hypoplasia) and yellow dystrophic nails that lack a cuticle, grow slowly, and are loose or detached.  do rare slim syndrome  general medicine",yellow nail syndrome a syndrome that is characterized by an accumulation of protein rich fluid lymph in the soft layers of tissue under the skin resulting in pleural effusions lymphedema due to lymphatic hypoplasia and yellow dystrophic nails that lack a cuticle grow slowly and are loose or detached  do rare slim syndrome  general medicine,"['yellow', 'nail', 'syndrome', 'a', 'syndrome', 'that', 'is', 'characterized', 'by', 'an', 'accumulation', 'of', 'protein', 'rich', 'fluid', 'lymph', 'in', 'the', 'soft', 'layers', 'of', 'tissue', 'under', 'the', 'skin', 'resulting', 'in', 'pleural', 'effusions', 'lymphedema', 'due', 'to', 'lymphatic', 'hypoplasia', 'and', 'yellow', 'dystrophic', 'nails', 'that', 'lack', 'a', 'cuticle', 'grow', 'slowly', 'and', 'are', 'loose', 'or', 'detached', 'do', 'rare', 'slim', 'syndrome', 'general', 'medicine']","['yellow', 'nail', 'syndrome', 'syndrome', 'characterized', 'accumulation', 'protein', 'rich', 'fluid', 'lymph', 'soft', 'layers', 'tissue', 'skin', 'resulting', 'pleural', 'effusions', 'lymphedema', 'due', 'lymphatic', 'hypoplasia', 'yellow', 'dystrophic', 'nails', 'lack', 'cuticle', 'grow', 'slowly', 'loose', 'detached', 'rare', 'slim', 'syndrome', 'general', 'medicine']"
immunogenetics,"costello syndrome a syndrome characterized by craniofacial dysmorphology, cardiac defects, mild mental retardation, and high birth weight followed by a failure to thrive and developmental delays.  faciocutaneoskeletal syndrome fcs syndrome autosomal dominant disease immunogenetics",costello syndrome a syndrome characterized by craniofacial dysmorphology cardiac defects mild mental retardation and high birth weight followed by a failure to thrive and developmental delays  faciocutaneoskeletal syndrome fcs syndrome autosomal dominant disease immunogenetics,"['costello', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'craniofacial', 'dysmorphology', 'cardiac', 'defects', 'mild', 'mental', 'retardation', 'and', 'high', 'birth', 'weight', 'followed', 'by', 'a', 'failure', 'to', 'thrive', 'and', 'developmental', 'delays', 'faciocutaneoskeletal', 'syndrome', 'fcs', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['costello', 'syndrome', 'syndrome', 'characterized', 'craniofacial', 'dysmorphology', 'cardiac', 'defects', 'mild', 'mental', 'retardation', 'high', 'birth', 'weight', 'followed', 'failure', 'thrive', 'developmental', 'delays', 'faciocutaneoskeletal', 'syndrome', 'fcs', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
immunogenetics,donohue syndrome  leprechaunism autosomal recessive disease  immunogenetics,donohue syndrome  leprechaunism autosomal recessive disease  immunogenetics,"['donohue', 'syndrome', 'leprechaunism', 'autosomal', 'recessive', 'disease', 'immunogenetics']","['donohue', 'syndrome', 'leprechaunism', 'autosomal', 'recessive', 'disease', 'immunogenetics']"
immunogenetics,"carney complex an autosomal dominant disease characterized by myxomas, spotty pigmentation of the skin and endocrine overactivity.  do rare slim carney complex variant carney complex, type 1 carney complex, type 2 carney syndrome lamb syndrome name syndrome autosomal dominant disease  immunogenetics",carney complex an autosomal dominant disease characterized by myxomas spotty pigmentation of the skin and endocrine overactivity  do rare slim carney complex variant carney complex type 1 carney complex type 2 carney syndrome lamb syndrome name syndrome autosomal dominant disease  immunogenetics,"['carney', 'complex', 'an', 'autosomal', 'dominant', 'disease', 'characterized', 'by', 'myxomas', 'spotty', 'pigmentation', 'of', 'the', 'skin', 'and', 'endocrine', 'overactivity', 'do', 'rare', 'slim', 'carney', 'complex', 'variant', 'carney', 'complex', 'type', '1', 'carney', 'complex', 'type', '2', 'carney', 'syndrome', 'lamb', 'syndrome', 'name', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['carney', 'complex', 'autosomal', 'dominant', 'disease', 'characterized', 'myxomas', 'spotty', 'pigmentation', 'skin', 'endocrine', 'overactivity', 'rare', 'slim', 'carney', 'complex', 'variant', 'carney', 'complex', 'type', '1', 'carney', 'complex', 'type', '2', 'carney', 'syndrome', 'lamb', 'syndrome', 'name', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
immunogenetics,monilethrix autosomal dominant disease  immunogenetics,monilethrix autosomal dominant disease  immunogenetics,"['monilethrix', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['monilethrix', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
immunogenetics,"alstrom syndrome an autosomal recessive disease that is characterized by multiorgan dysfunction. the key features are childhood obesity, blindness due to congenital retinal dystrophy, and sensorineural hearing loss with autosomal recessive inheritance and has material basis in mutations in the alms1 gene.       autosomal recessive disease immunogenetics  ",alstrom syndrome an autosomal recessive disease that is characterized by multiorgan dysfunction the key features are childhood obesity blindness due to congenital retinal dystrophy and sensorineural hearing loss with autosomal recessive inheritance and has material basis in mutations in the alms1 gene       autosomal recessive disease immunogenetics  ,"['alstrom', 'syndrome', 'an', 'autosomal', 'recessive', 'disease', 'that', 'is', 'characterized', 'by', 'multiorgan', 'dysfunction', 'the', 'key', 'features', 'are', 'childhood', 'obesity', 'blindness', 'due', 'to', 'congenital', 'retinal', 'dystrophy', 'and', 'sensorineural', 'hearing', 'loss', 'with', 'autosomal', 'recessive', 'inheritance', 'and', 'has', 'material', 'basis', 'in', 'mutations', 'in', 'the', 'alms1', 'gene', 'autosomal', 'recessive', 'disease', 'immunogenetics']","['alstrom', 'syndrome', 'autosomal', 'recessive', 'disease', 'characterized', 'multiorgan', 'dysfunction', 'key', 'features', 'childhood', 'obesity', 'blindness', 'due', 'congenital', 'retinal', 'dystrophy', 'sensorineural', 'hearing', 'loss', 'autosomal', 'recessive', 'inheritance', 'material', 'basis', 'mutations', 'alms1', 'gene', 'autosomal', 'recessive', 'disease', 'immunogenetics']"
immunogenetics,netherton syndrome autosomal recessive disease  immunogenetics,netherton syndrome autosomal recessive disease  immunogenetics,"['netherton', 'syndrome', 'autosomal', 'recessive', 'disease', 'immunogenetics']","['netherton', 'syndrome', 'autosomal', 'recessive', 'disease', 'immunogenetics']"
immunogenetics,"weill marchesani syndrome an autosomal genetic disease characterized by short stature, brachycephaly and other facial abnormalities, brachydactyly, joint stiffness and distinctive ocular abnormalities.  do rare slim congenital mesodermal dystrophy gemss syndrome marchesani weill syndrome mesodermal dysmorphic dystrophy, congenital spherophakia brachymorphic syndrome autosomal genetic disease  immunogenetics",weill marchesani syndrome an autosomal genetic disease characterized by short stature brachycephaly and other facial abnormalities brachydactyly joint stiffness and distinctive ocular abnormalities  do rare slim congenital mesodermal dystrophy gemss syndrome marchesani weill syndrome mesodermal dysmorphic dystrophy congenital spherophakia brachymorphic syndrome autosomal genetic disease  immunogenetics,"['weill', 'marchesani', 'syndrome', 'an', 'autosomal', 'genetic', 'disease', 'characterized', 'by', 'short', 'stature', 'brachycephaly', 'and', 'other', 'facial', 'abnormalities', 'brachydactyly', 'joint', 'stiffness', 'and', 'distinctive', 'ocular', 'abnormalities', 'do', 'rare', 'slim', 'congenital', 'mesodermal', 'dystrophy', 'gemss', 'syndrome', 'marchesani', 'weill', 'syndrome', 'mesodermal', 'dysmorphic', 'dystrophy', 'congenital', 'spherophakia', 'brachymorphic', 'syndrome', 'autosomal', 'genetic', 'disease', 'immunogenetics']","['weill', 'marchesani', 'syndrome', 'autosomal', 'genetic', 'disease', 'characterized', 'short', 'stature', 'brachycephaly', 'facial', 'abnormalities', 'brachydactyly', 'joint', 'stiffness', 'distinctive', 'ocular', 'abnormalities', 'rare', 'slim', 'congenital', 'mesodermal', 'dystrophy', 'gemss', 'syndrome', 'marchesani', 'weill', 'syndrome', 'mesodermal', 'dysmorphic', 'dystrophy', 'congenital', 'spherophakia', 'brachymorphic', 'syndrome', 'autosomal', 'genetic', 'disease', 'immunogenetics']"
endocrinology metabolism,barth syndrome a lipid metabolism disorder that has material basis in x linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin.  do flybase slim do rare slim 3 methylglutaconic aciduria type 2 3 methylglutaconic aciduria type ii mga type 2 mga type ii lipid metabolism disorder  endocrinology/metabolism,barth syndrome a lipid metabolism disorder that has material basis in x linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin  do flybase slim do rare slim 3 methylglutaconic aciduria type 2 3 methylglutaconic aciduria type ii mga type 2 mga type ii lipid metabolism disorder  endocrinologymetabolism,"['barth', 'syndrome', 'a', 'lipid', 'metabolism', 'disorder', 'that', 'has', 'material', 'basis', 'in', 'x', 'linked', 'inheritance', 'of', 'the', 'tafazzin', 'gene', 'and', 'is', 'characterized', 'by', 'decreased', 'production', 'of', 'an', 'enzyme', 'required', 'to', 'produce', 'cardiolipin', 'do', 'flybase', 'slim', 'do', 'rare', 'slim', '3', 'methylglutaconic', 'aciduria', 'type', '2', '3', 'methylglutaconic', 'aciduria', 'type', 'ii', 'mga', 'type', '2', 'mga', 'type', 'ii', 'lipid', 'metabolism', 'disorder', 'endocrinologymetabolism']","['barth', 'syndrome', 'lipid', 'metabolism', 'disorder', 'material', 'basis', 'x', 'linked', 'inheritance', 'tafazzin', 'gene', 'characterized', 'decreased', 'production', 'enzyme', 'required', 'produce', 'cardiolipin', 'flybase', 'slim', 'rare', 'slim', '3', 'methylglutaconic', 'aciduria', 'type', '2', '3', 'methylglutaconic', 'aciduria', 'type', 'ii', 'mga', 'type', '2', 'mga', 'type', 'ii', 'lipid', 'metabolism', 'disorder', 'endocrinologymetabolism']"
nephrology,liddle syndrome  liddle's syndrome pseudoaldosteronism renal tubular transport disease  nephrology,liddle syndrome  liddles syndrome pseudoaldosteronism renal tubular transport disease  nephrology,"['liddle', 'syndrome', 'liddles', 'syndrome', 'pseudoaldosteronism', 'renal', 'tubular', 'transport', 'disease', 'nephrology']","['liddle', 'syndrome', 'liddles', 'syndrome', 'pseudoaldosteronism', 'renal', 'tubular', 'transport', 'disease', 'nephrology']"
general medicine,primary escherichia coli infectious disease gram negative bacterial infectious disease   general medicine,primary escherichia coli infectious disease gram negative bacterial infectious disease   general medicine,"['primary', 'escherichia', 'coli', 'infectious', 'disease', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'general', 'medicine']","['primary', 'escherichia', 'coli', 'infectious', 'disease', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'general', 'medicine']"
general medicine,commensal klebsiella infectious disease gram negative bacterial infectious disease klebsiella infection   general medicine,commensal klebsiella infectious disease gram negative bacterial infectious disease klebsiella infection   general medicine,"['commensal', 'klebsiella', 'infectious', 'disease', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'klebsiella', 'infection', 'general', 'medicine']","['commensal', 'klebsiella', 'infectious', 'disease', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'klebsiella', 'infection', 'general', 'medicine']"
centre for community medicines,"epidemic typhus a typhus that has material basis in rickettsia prowazekii, which is transmitted by human body louse (pediculus humanus corporis). the infection has symptom high fever, has symptom cough, has symptom rash, has symptom severe muscle pain, has symptom chills, has symptom falling blood pressure, has symptom stupor, has symptom sensitivity to light, and has symptom delirium. gram negative bacterial infectious disease zoonotic infectious disease sylvatic typhus typhus centre for community medicines",epidemic typhus a typhus that has material basis in rickettsia prowazekii which is transmitted by human body louse pediculus humanus corporis the infection has symptom high fever has symptom cough has symptom rash has symptom severe muscle pain has symptom chills has symptom falling blood pressure has symptom stupor has symptom sensitivity to light and has symptom delirium gram negative bacterial infectious disease zoonotic infectious disease sylvatic typhus typhus centre for community medicines,"['epidemic', 'typhus', 'a', 'typhus', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'prowazekii', 'which', 'is', 'transmitted', 'by', 'human', 'body', 'louse', 'pediculus', 'humanus', 'corporis', 'the', 'infection', 'has', 'symptom', 'high', 'fever', 'has', 'symptom', 'cough', 'has', 'symptom', 'rash', 'has', 'symptom', 'severe', 'muscle', 'pain', 'has', 'symptom', 'chills', 'has', 'symptom', 'falling', 'blood', 'pressure', 'has', 'symptom', 'stupor', 'has', 'symptom', 'sensitivity', 'to', 'light', 'and', 'has', 'symptom', 'delirium', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'sylvatic', 'typhus', 'typhus', 'centre', 'for', 'community', 'medicines']","['epidemic', 'typhus', 'typhus', 'material', 'basis', 'rickettsia', 'prowazekii', 'transmitted', 'human', 'body', 'louse', 'pediculus', 'humanus', 'corporis', 'infection', 'symptom', 'high', 'fever', 'symptom', 'cough', 'symptom', 'rash', 'symptom', 'severe', 'muscle', 'pain', 'symptom', 'chills', 'symptom', 'falling', 'blood', 'pressure', 'symptom', 'stupor', 'symptom', 'sensitivity', 'light', 'symptom', 'delirium', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'sylvatic', 'typhus', 'typhus', 'centre', 'community', 'medicines']"
